type,tick,vehicle_id,total_distance,total_time,stops_made,average_speed,current_speed,is_dwelling,dwell_time_remaining,position_lon,position_lat,gap_m,vehicle_a,vehicle_b,active_vehicles,avg_tick_time_ms,total_stops
vehicle,1,V0,1e-05,29.559096704220718,0.0,0.0,1e-05,False,0.0,-84.0522203,9.935511296,,,,,,
vehicle,1,V1,1e-05,29.270963996684806,0.0,0.0,1e-05,False,0.0,-84.05223246,9.935512403,,,,,,
vehicle,1,V2,1e-05,29.886841384323375,0.0,0.0,1e-05,False,0.0,-84.0491115,9.93554616,,,,,,
gap,1,,,,,,,,,,,1.359414048001615,V0,V1,,,
gap,1,,,,,,,,,,,347.4446235903004,V1,V2,,,
system,1,,,,,,,,,,,,,,3.0,0.0,0.0
vehicle,2,V0,7.000000000000001e-05,69.57893395520935,0.0,0.0,2e-05,False,0.0,-84.0522203,9.935511296,,,,,,
vehicle,2,V1,7.000000000000001e-05,60.99508115885594,0.0,0.0,2e-05,False,0.0,-84.05223246,9.935512403,,,,,,
vehicle,2,V2,7.000000000000001e-05,47.9133072409138,0.0,0.0,2e-05,False,0.0,-84.0491115,9.93554616,,,,,,
gap,2,,,,,,,,,,,1.359414048001615,V0,V1,,,
gap,2,,,,,,,,,,,347.4446235903004,V1,V2,,,
system,2,,,,,,,,,,,,,,3.0,0.0,0.0
vehicle,3,V0,0.00010000000000000002,103.9021173958865,0.0,0.0,3.0000000000000004e-05,False,0.0,-84.0522203,9.935511296,,,,,,
vehicle,3,V1,0.00010000000000000002,89.32170637388425,0.0,0.0,3.0000000000000004e-05,False,0.0,-84.05223246,9.935512403,,,,,,
vehicle,3,V2,0.00010000000000000002,76.74372039946185,0.0,0.0,3.0000000000000004e-05,False,0.0,-84.0491115,9.93554616,,,,,,
gap,3,,,,,,,,,,,1.359414048001615,V0,V1,,,
gap,3,,,,,,,,,,,347.4446235903004,V1,V2,,,
system,3,,,,,,,,,,,,,,3.0,0.0,0.0
vehicle,4,V0,0.00026000000000000003,139.06096526289505,0.0,0.0,4e-05,False,0.0,-84.05233471,9.935547228,,,,,,
vehicle,4,V1,0.00026000000000000003,125.64468374295146,0.0,0.0,4e-05,False,0.0,-84.05233542,9.935543179,,,,,,
vehicle,4,V2,0.00026000000000000003,122.37930726545328,0.0,0.0,4e-05,False,0.0,-84.04923244,9.935572539,,,,,,
gap,4,,,,,,,,,,,0.46437095934129835,V0,V1,,,
gap,4,,,,,,,,,,,345.4380899231595,V1,V2,,,
system,4,,,,,,,,,,,,,,3.0,0.0,0.0
vehicle,5,V0,0.00041000000000000005,178.62733033088173,0.0,0.0,5e-05,False,0.0,-84.05242661,9.935656657,,,,,,
vehicle,5,V1,0.00041000000000000005,159.7497555173898,0.0,0.0,5e-05,False,0.0,-84.05242841,9.935652984,,,,,,
vehicle,5,V2,0.00041000000000000005,147.99609124200506,0.0,0.0,5e-05,False,0.0,-84.04932439,9.935597197,,,,,,
gap,5,,,,,,,,,,,0.460933785151337,V0,V1,,,
gap,5,,,,,,,,,,,345.59543962435305,V1,V2,,,
system,5,,,,,,,,,,,,,,3.0,0.0,0.0
vehicle,6,V0,0.00047000000000000004,199.48070665600457,0.0,0.0,6e-05,False,0.0,-84.05242661,9.935656657,,,,,,
vehicle,6,V1,0.00047000000000000004,193.2131774695018,0.0,0.0,6e-05,False,0.0,-84.05242841,9.935652984,,,,,,
vehicle,6,V2,0.00047000000000000004,192.10689951404555,0.0,0.0,6e-05,False,0.0,-84.04932439,9.935597197,,,,,,
gap,6,,,,,,,,,,,0.460933785151337,V0,V1,,,
gap,6,,,,,,,,,,,345.59543962435305,V1,V2,,,
system,6,,,,,,,,,,,,,,3.0,0.0,0.0
vehicle,7,V0,0.00054,230.8972752950384,0.0,0.0,7.000000000000001e-05,False,0.0,-84.05243879,9.935724005,,,,,,
vehicle,7,V1,0.00054,223.14994453179395,0.0,0.0,7.000000000000001e-05,False,0.0,-84.05244045,9.935719143,,,,,,
vehicle,7,V2,0.00054,228.42466171805424,0.0,0.0,7.000000000000001e-05,False,0.0,-84.04932439,9.935597197,,,,,,
gap,7,,,,,,,,,,,0.5797170312057676,V0,V1,,,
gap,7,,,,,,,,,,,347.1518810343781,V1,V2,,,
system,7,,,,,,,,,,,,,,3.0,0.0,0.0
vehicle,8,V0,0.0008600000000000001,250.36182231495164,0.0,0.0,8e-05,False,0.0,-84.05238018,9.935947739,,,,,,
vehicle,8,V1,0.0008600000000000001,254.02717136034835,0.0,0.0,8e-05,False,0.0,-84.05238013,9.93594643,,,,,,
vehicle,8,V2,0.0008600000000000001,267.32828704398946,0.0,0.0,8e-05,False,0.0,-84.04959831,9.935702467,,,,,,
gap,8,,,,,,,,,,,0.1480407380952388,V0,V1,,,
gap,8,,,,,,,,,,,310.89576331662346,V1,V2,,,
system,8,,,,,,,,,,,,,,3.0,0.0,0.0
vehicle,9,V0,0.0013100000000000002,294.0958661687461,0.0,0.0,9e-05,False,0.0,-84.05230283,9.936186396,,,,,,
vehicle,9,V1,0.0013100000000000002,286.620874633797,1.0,0.0,9e-05,True,21.561601821007095,-84.05227116,9.93629305,,,,,,
vehicle,9,V2,0.0013100000000000002,306.09428563086857,0.0,0.0,9e-05,False,0.0,-84.04984913,9.935711476,,,,,,
gap,9,,,,,,,,,,,12.558467997640488,V0,V1,,,
gap,9,,,,,,,,,,,277.51474988821013,V1,V2,,,
system,9,,,,,,,,,,,,,,3.0,0.0,1.0
vehicle,10,V0,0.0014100000000000002,327.57800066203026,0.0,0.0,0.0001,False,0.0,-84.05230283,9.936186396,,,,,,
vehicle,10,V1,0.0013100000000000002,324.4441427208334,1.0,0.0,9e-05,True,35.561601821007095,-84.05227116,9.93629305,,,,,,
vehicle,10,V2,0.0014100000000000002,325.96206348838683,0.0,0.0,0.0001,False,0.0,-84.04984913,9.935711476,,,,,,
gap,10,,,,,,,,,,,12.558467997640488,V0,V1,,,
gap,10,,,,,,,,,,,277.51474988821013,V1,V2,,,
system,10,,,,,,,,,,,,,,3.0,0.0,1.0
vehicle,11,V0,0.0015700000000000002,365.2605075378841,0.0,0.0,8e-05,False,0.0,-84.05230283,9.936186396,,,,,,
vehicle,11,V1,0.0013100000000000002,339.29893880358196,1.0,0.0,9e-05,True,48.561601821007095,-84.05227116,9.93629305,,,,,,
vehicle,11,V2,0.0015700000000000002,331.7626092661983,0.0,0.0,8e-05,False,0.0,-84.04984913,9.935711476,,,,,,
gap,11,,,,,,,,,,,12.558467997640488,V0,V1,,,
gap,11,,,,,,,,,,,277.51474988821013,V1,V2,,,
system,11,,,,,,,,,,,,,,3.0,0.0,1.0
vehicle,12,V0,0.0017500000000000003,391.19160025588906,0.0,0.0,9e-05,False,0.0,-84.05230283,9.936186396,,,,,,
vehicle,12,V1,0.0013100000000000002,360.140838340122,1.0,0.0,9e-05,True,61.561601821007095,-84.05227116,9.93629305,,,,,,
vehicle,12,V2,0.0017500000000000003,372.5227316967624,0.0,0.0,9e-05,False,0.0,-84.04984913,9.935711476,,,,,,
gap,12,,,,,,,,,,,12.558467997640488,V0,V1,,,
gap,12,,,,,,,,,,,277.51474988821013,V1,V2,,,
system,12,,,,,,,,,,,,,,3.0,0.0,1.0
vehicle,13,V0,0.00205,430.834259252018,1.0,0.0,0.0001,True,26.515956574293163,-84.05224068,9.936396846,,,,,,
vehicle,13,V1,0.0013100000000000002,377.95009092716504,1.0,0.0,9e-05,True,73.56160182100709,-84.05227116,9.93629305,,,,,,
vehicle,13,V2,0.00205,413.9963459302424,0.0,0.0,0.0001,False,0.0,-84.05008935,9.935702467,,,,,,
gap,13,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,13,,,,,,,,,,,251.88199520466634,V1,V2,,,
system,13,,,,,,,,,,,,,,3.0,0.0,2.0
vehicle,14,V0,0.00205,450.8122310095945,1.0,0.0,0.0001,True,36.51595657429316,-84.05224068,9.936396846,,,,,,
vehicle,14,V1,0.0013100000000000002,407.0876524638022,1.0,0.0,9e-05,True,83.56160182100709,-84.05227116,9.93629305,,,,,,
vehicle,14,V2,0.0024500000000000004,446.05734815067706,0.0,0.0,8e-05,False,0.0,-84.0503238,9.935667851,,,,,,
gap,14,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,14,,,,,,,,,,,228.00338528199552,V1,V2,,,
system,14,,,,,,,,,,,,,,3.0,0.0,2.0
vehicle,15,V0,0.00205,481.9564295842037,1.0,0.0,0.0001,True,48.51595657429316,-84.05224068,9.936396846,,,,,,
vehicle,15,V1,0.0013100000000000002,445.27401557923986,1.0,0.0,9e-05,True,95.56160182100709,-84.05227116,9.93629305,,,,,,
vehicle,15,V2,0.00272,485.44148605860147,0.0,0.0,9e-05,False,0.0,-84.05053623,9.935628019,,,,,,
gap,15,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,15,,,,,,,,,,,207.24029440215662,V1,V2,,,
system,15,,,,,,,,,,,,,,3.0,0.0,2.0
vehicle,16,V0,0.00205,515.4552806028958,1.0,0.0,0.0001,True,61.51595657429316,-84.05224068,9.936396846,,,,,,
vehicle,16,V1,0.0013100000000000002,481.77349655730285,1.0,0.0,9e-05,True,108.56160182100709,-84.05227116,9.93629305,,,,,,
vehicle,16,V2,0.0029200000000000003,522.2264064351026,0.0,0.0,0.0001,False,0.0,-84.05053623,9.935628019,,,,,,
gap,16,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,16,,,,,,,,,,,207.24029440215662,V1,V2,,,
system,16,,,,,,,,,,,,,,3.0,0.0,2.0
vehicle,17,V0,0.00205,539.1854259506997,1.0,0.0,0.0001,True,74.51595657429317,-84.05224068,9.936396846,,,,,,
vehicle,17,V1,0.0013100000000000002,504.5997856191371,1.0,0.0,9e-05,True,121.56160182100709,-84.05227116,9.93629305,,,,,,
vehicle,17,V2,0.0030800000000000003,549.5267236937425,0.0,0.0,8e-05,False,0.0,-84.05053623,9.935628019,,,,,,
gap,17,,,,,,,,,,,12.211330664621194,V0,V1,,,
